nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
João Paulo,26,Santos FC,GK,33,2970,-,-,-,-,-,0.1,-,-,-,0.1,-,-,-,1.7,-,-,-,29.5,75.2,-,3.9,-,6.87
Fabinho,19,Palmeiras,Midfielder,2(1),189,-,-,0.7,0.7,0.3,-,-,-,0.7,0.7,2.3,1.7,-,1.7,-,0.7,-,20.3,63.9,0.3,3.0,-,6.87
Hugo Souza,23,Flamengo,GK,7(1),693,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,18.0,79.9,-,2.1,-,6.86
Emiliano Velázquez,27,Santos FC,D(C),10,817,-,-,0.4,0.6,0.5,0.1,-,0.5,0.5,2.6,1.4,0.7,0.3,4.2,0.9,0.8,-,49.4,81.2,-,3.3,-,6.86
Fernando,20,Gremio,Midfielder,3(1),276,-,-,0.5,-,0.8,0.5,-,0.5,1,2.8,2.3,1.5,-,0.5,1,0.3,-,34.0,83.1,-,1.8,-,6.86
Luiz Otávio,29,Bahia,D(C),29(1),2671,3,-,0.7,0.1,-,0.2,0.1,0.1,0.1,0.8,0.7,0.8,0.6,5.4,0.3,0.8,-,41.2,79.5,-,3.3,-,6.86
Matheus Bahia,22,Bahia,D(L),27(2),2291,2,4,0.6,0.8,1.1,1.3,-,0.5,1.9,1.9,1.6,1.5,0.5,1.7,0.8,0.2,-,32.2,78.3,0.6,1.6,-,6.86
Douglas Costa,31,Gremio,M(CLR),20(6),1811,3,2,1.7,1.8,2.7,0.8,0.2,1.1,2.0,0.7,0.2,1.9,-,0.1,0.9,-,-,30.3,83.9,1.0,2.4,-,6.86
Alê,31,America MG,M(C),24(4),2012,3,1,1.1,1.2,0.8,1.9,-,1.3,1.4,1.7,0.8,1.1,-,0.8,0.8,-,-,40.4,86.4,0.2,1.7,0.1,6.86
Renato Augusto,34,Corinthians,"M(CLR),FW",16(5),1486,4,1,1.8,1.0,1.1,1.3,-,1.2,1.0,1.3,0.4,0.9,-,0.1,0.9,-,-,48.5,87.1,0.1,2.5,-,6.85
Luiz Otávio,33,Ceara,D(C),19(1),1718,-,-,0.6,0.4,0.2,0.5,0.1,0.2,0.5,1.2,1.5,1.0,0.2,3.8,0.3,1.3,-,32.7,82.8,0.1,1.7,-,6.85
Matheuzinho,21,Flamengo,D(R),20(10),1900,2,2,0.8,0.7,0.9,0.5,0.1,0.7,0.7,1.7,1.0,1.1,0.2,1.3,0.8,0.2,-,38.9,83.6,0.9,1.9,-,6.85
Juninho Capixaba,24,Bahia,"D(L),M(L)",21(5),1889,-,4,0.9,2.0,0.9,1.7,-,0.8,1.5,1.7,1.5,1.9,-,1.0,0.9,0.2,-,34.4,80.0,1.2,2.0,-,6.85
Fernandinho,24,Chapecoense AF,AM(L),11(4),1047,-,-,1.1,0.7,3.1,2.1,0.5,2.1,2.5,1.7,0.8,1.5,-,0.2,1.1,0.1,-,15.9,74.1,0.3,0.4,-,6.85
Juninho Valoura,36,America MG,M(C),14(11),1211,3,3,1.0,1.7,1.0,1.6,-,0.6,0.7,1.0,0.8,1.3,-,0.8,0.8,0.2,-,28.4,84.0,0.8,3.4,-,6.85
Reinaldo,32,Sao Paulo,"D(L),M(L)",29(2),2349,2,3,0.8,1.4,1.3,1.0,-,0.7,1.0,1.3,0.6,1.3,0.2,1.4,0.5,0.2,-,32.9,79.4,1.4,1.8,-,6.84
Nino Paraíba,36,Bahia,"D(R),M(R)",32,2855,-,2,0.8,1.3,0.8,1.8,0.1,0.8,1.7,1.8,1.9,1.3,0.4,1.8,0.9,0.2,-,33.4,74.9,1.3,2.2,-,6.84
Ignacio Fernández,32,Atletico MG,M(CR),20(6),1816,5,5,1.3,2.2,0.5,1.6,0.1,1,2.2,1.1,0.1,0.5,-,0.3,1.8,-,-,42.8,85.3,1.3,1.0,0.1,6.84
Lucas Kal,26,America MG,"D(CL),DMC",19(1),1623,1,4,0.9,0.7,0.5,0.3,-,0.3,0.6,1.6,1.2,1.1,-,1.6,1.5,0.2,-,40.4,79.5,0.1,3.3,0.1,6.84
Isla,33,Flamengo,"D(R),M(CR)",15,1152,-,3,0.1,0.9,0.2,0.7,0.2,0.4,0.7,1.5,1.2,1.5,0.7,0.9,0.5,0.2,-,43.8,87.5,0.4,1.5,-,6.83
Marcos Felipe,25,Fluminense,GK,36,3240,-,-,-,-,-,0.2,-,-,-,-,-,-,-,1.0,0.1,-,-,19.1,61.4,-,4.5,-,6.83
Marinho,31,Santos FC,"AM(CLR),FW",26(1),2227,6,1,3,1,1.4,4.3,0.5,1.7,3.3,1.4,0.3,2.1,0.1,0.1,1.0,-,-,20.9,78.9,0.3,0.7,-,6.83
Helinho,21,Red Bull Bragantino,AM(LR),24(9),2097,5,4,1.5,1.3,1.2,1.4,0.1,1.2,1.6,0.8,0.9,1.1,-,0.4,0.8,-,-,23.9,77.7,0.7,0.8,0.2,6.83
Vanderson,20,Gremio,"D(R),M(R)",22(8),1970,3,2,0.7,1,1.5,0.7,-,0.6,1.7,1.9,1.2,1.4,-,0.7,0.8,0.2,-,37.3,79.4,0.6,2.5,-,6.83
Luiz Felipe,28,Santos FC,D(C),23,1908,-,1,0.2,0.1,0.6,0.6,0.1,0.1,0.3,1.3,1.4,1.3,0.5,4.0,0.5,0.7,1,47.0,84.6,-,2.3,-,6.83
Fabrício Daniel,24,America MG,FW,14(8),1225,3,2,2.1,0.7,2.4,1.5,0.1,1.5,2.7,0.9,0.3,0.8,-,0.1,0.4,-,-,12.4,70.2,0.1,0.1,-,6.83
Vina,30,Ceara,"M(C),FW",26(8),2390,8,2,2.3,1.8,0.7,1.2,0.2,0.6,1.4,0.3,0.4,0.3,-,0.1,0.5,-,-,30.5,81.2,1,2.2,0.1,6.83
Marlon,24,Fluminense,"D(L),M(L)",12(1),1024,-,3,0.3,1.4,0.5,1.1,0.2,0.5,0.6,1.6,0.9,1.2,0.1,1.5,0.8,0.3,-,33.2,75.7,1.9,1.6,-,6.83
Eduardo Bauermann,26,America MG,D(C),35,3137,1,1,0.4,0.2,0.2,0.5,-,0.1,0.4,1.3,1.6,0.9,0.4,3.1,0.5,0.7,-,37.7,85.3,-,2.0,-,6.83
Giuliano,31,Corinthians,"AM(CLR),FW",21,1780,3,3,1,1.1,1.3,1,-,1.2,1.4,1.2,0.5,0.5,-,0.3,1.0,-,-,53.3,92.0,0.2,1.4,0.1,6.83
Marcos Rocha,33,Palmeiras,"D(R),M(R)",21(1),1684,-,-,0.2,1.1,0.5,0.8,-,0.2,0.7,2.8,1.1,0.9,0.1,1.2,1.1,0.3,-,47.9,81.6,0.4,5.9,-,6.83
Tinga,28,Fortaleza,D(CR),34(2),3098,1,2,0.5,1.0,0.8,0.5,0.1,0.1,0.8,1.1,1.5,1.0,0.3,1.9,0.9,0.4,-,46.6,76.4,0.5,3.5,-,6.83
Dudu,30,Palmeiras,"AM(CLR),FW",17(4),1491,2,2,1.6,1.9,1.5,2,0.3,0.8,1.5,0.3,0.2,0.5,-,0.3,0.3,0.1,-,27.4,79.5,0.8,1.8,-,6.82
Patric,33,America MG,"D(LR),M(R)",24,2140,1,1,1.2,0.9,0.5,0.7,0.4,0.8,1.3,1.6,1.3,1.3,0.2,2.1,0.7,0.1,-,38.5,74.8,0.6,1.8,-,6.82
Felipe Melo,38,Palmeiras,"D(C),M(C)",19(5),1717,1,-,0.5,0.3,0.2,0.5,-,0.3,0.3,1.3,1.2,1.5,-,3.2,0.5,0.6,-,37.6,89.5,-,5.2,-,6.82
Lucas Freitas,21,Palmeiras,Defender,2(1),179,-,-,-,0.3,-,-,-,-,0.3,1.3,0.3,1.3,-,5.0,0.7,1.3,-,18.0,83.3,-,1.3,-,6.82
Raúl,25,Red Bull Bragantino,"D(R),DMC",11(1),954,-,2,0.4,0.8,0.4,2.4,-,1.2,1.4,2.3,1.3,1.9,0.1,0.6,1.3,0.3,-,51.4,85.6,-,4.2,-,6.82
Júnior Alonso,29,Atletico MG,D(CL),22,1980,1,-,0.7,0.4,0.2,0.1,-,0.2,0.5,1.1,1,1.1,0.3,2.8,0.6,0.6,-,64.6,88.3,-,2.3,-,6.82
Fernando Miguel,37,Atletico GO,GK,37,3274,-,-,-,-,-,0.1,-,-,0.1,-,-,-,-,0.9,-,-,-,23.0,68.4,-,3.4,-,6.82
Vanderlan,19,Palmeiras,Defender,2(1),225,-,-,1,0.3,1.3,0.3,-,0.7,0.7,1.3,1,-,0.7,2.0,0.3,0.7,-,19.3,67.2,0.3,-,-,6.82
Zé Rafael,28,Palmeiras,M(CLR),19(7),1826,1,-,1,0.6,1.8,1.6,-,0.9,1.6,2,0.6,2.2,-,0.7,1.4,0.5,-,35.3,90.2,-,2,-,6.82
Messias,27,Ceara,D(C),34,3016,1,1,0.6,0.2,0.1,0.3,-,-,0.1,0.3,1.2,0.9,0.4,6.1,0.1,0.9,-,32.0,77.3,-,2.4,-,6.81
Germán Conti,27,Bahia,D(C),28,2451,-,-,0.4,0.1,-,0.4,-,-,0.2,0.7,2.1,0.8,0.4,4.7,0.4,0.9,-,42.8,83.8,-,2,-,6.81
David,26,Fortaleza,"AM(CLR),FW",23(9),1953,5,2,1.5,1.2,2,1.1,0.6,0.8,1.9,0.7,0.2,1.2,-,0.1,0.4,-,-,15.8,74.2,0.2,0.4,-,6.81
