nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Mateo Retegui,22,Talleres,FW,12(12),1038,4,1,1.5,0.5,0.4,0.6,0.3,0.5,1.8,0.5,0.1,0.8,-,0.5,0.4,0.2,-,10.6,75.2,-,0.3,-,6.52
Esteban Rolón,27,Boca Juniors,DMC,7(4),686,-,-,0.3,0.1,0.4,0.5,-,0.2,0.9,1.3,1.4,1.2,-,0.3,1.5,0.3,-,38.2,84.0,-,1.3,-,6.52
Franco Baldassarra,23,Club Atletico Platense,Midfielder,11(11),1101,-,1,1.0,0.6,1,1.1,-,0.8,1.3,1.3,0.6,0.7,-,0.4,0.7,-,-,16.5,69.4,0.4,0.7,-,6.52
Lautaro Geminiani,31,Patronato de Parana,D(R),12(4),1132,-,-,0.3,0.3,0.6,0.6,-,0.3,1.2,2.4,1.3,1.6,0.3,1.9,1.7,0.1,-,22.6,62.2,0.4,1.8,-,6.52
Sebastián Lomónaco,23,Godoy Cruz,"AM(L),FW",9(10),835,3,2,1.2,0.6,0.7,0.5,0.2,0.8,1.7,0.6,0.3,0.7,0.1,0.5,0.7,0.1,-,13.6,56.6,0.6,0.4,0.1,6.51
Milton Caraglio,33,Rosario Central,FW,4(3),401,1,-,1.4,0.4,-,1.0,0.1,0.6,1.1,0.3,0.3,1.1,-,0.4,0.4,0.1,-,14.3,67.0,-,-,-,6.51
Carlos Alcaraz,19,Racing Club,DMC,9(9),877,1,2,0.7,0.5,1.2,0.9,-,1.3,2.3,0.8,0.3,1.4,-,0.4,0.7,0.2,-,18.9,81.8,0.2,1.1,0.1,6.51
Juan Cruz González,25,Central Cordoba de Santiago,D(R),5(7),401,-,-,0.7,0.6,0.7,0.9,0.1,0.3,0.6,1.2,1.1,0.4,0.1,0.8,0.4,0.2,-,10.1,62.8,0.8,0.9,-,6.51
Siro Rosané,21,San Lorenzo,M(C),8(4),806,1,-,0.8,0.5,0.6,0.9,-,0.6,0.8,1.4,0.9,1.3,-,0.8,1.3,0.1,-,33.9,82.1,-,2.7,-,6.51
Leandro Maciel,26,Aldosivi,DMC,12(8),1153,1,1,0.9,0.4,0.3,0.6,0.1,0.4,1.1,1.8,0.6,0.9,-,0.7,1.0,0.1,-,31.6,78.6,0.1,2,-,6.51
Horacio Tijanovich,26,Club Atletico Platense,"AM(LR),FW",9(8),867,2,1,1,0.5,0.7,1.9,0.1,1,2.4,0.6,0.8,0.5,-,0.6,0.2,0.1,-,11.8,54.0,0.2,0.2,-,6.51
Gabriel Compagnucci,30,Newell's Old Boys,"D(R),M(R)",15(3),1442,1,1,0.7,0.6,0.3,0.9,0.1,0.4,1.1,1,1.1,0.8,0.1,1.6,0.9,0.3,-,28.9,70.6,0.6,1.3,0.1,6.51
Mauro Pittón,27,Union,"DMC,M(R)",9(5),828,-,-,0.8,0.6,0.4,0.9,-,0.4,1.4,1.3,0.7,0.5,0.1,0.8,0.5,0.1,-,29.4,78.2,0.2,2.2,0.1,6.51
Matías Ibáñez,35,Patronato de Parana,GK,23,2070,1,-,-,-,-,0.2,-,-,-,0.1,-,-,-,0.5,-,-,-,25.0,46.7,-,8.7,-,6.51
Sebastián Moyano,31,Union,GK,25,2250,-,-,-,-,-,0.3,-,-,-,-,-,-,-,0.8,-,-,-,24.9,58.7,-,7.5,-,6.51
Ezequiel Naya,20,Estudiantes,Forward,0(3),11,1,-,0.7,0.3,-,-,-,-,-,-,0.3,0.3,-,-,-,-,-,1.7,60.0,-,-,0.3,6.51
Lautaro Ríos,21,Banfield,DMC,11(3),889,-,-,0.9,0.4,0.6,1,-,0.6,1.1,1.5,1.1,1.9,-,0.5,1.4,0.4,-,27.3,78.8,-,2,-,6.51
Ramiro Macagno,25,Newell's Old Boys,GK,8,720,-,-,-,0.1,-,0.1,-,-,-,-,0.1,-,-,0.6,-,-,-,29.1,63.1,-,5.4,-,6.51
Nicolás Emanuel Fernández,26,San Lorenzo,"AM(L),FW",21(1),1753,4,2,2.2,0.8,0.7,0.8,0.5,1.2,3.1,0.7,0.4,1.1,-,-,0.6,-,-,19.7,74.2,0.1,0.6,-,6.5
Diego Zabala,30,Rosario Central,AM(CLR),12(8),1140,-,3,0.9,0.8,0.5,0.2,0.1,0.6,1.2,1.3,0.5,0.6,-,0.6,0.8,0.1,-,21.7,76.7,0.4,1.3,-,6.5
Gastón Gil Romero,28,Aldosivi,DMC,15(2),1135,-,-,0.2,0.2,0.5,0.3,-,0.6,1.2,2.7,0.8,1.7,0.1,0.9,1.2,0.3,-,30.4,77.0,0.1,1.5,0.1,6.5
Mauro Bogado,36,Club Atletico Platense,M(C),6(10),666,1,1,0.9,0.8,0.4,1.5,0.1,0.4,0.8,1.1,1.1,1.0,-,0.4,0.5,-,-,21.1,73.7,0.9,2.4,-,6.5
Diego González,34,Boca Juniors,M(C),5(8),470,2,1,0.7,0.4,0.2,0.2,0.1,0.2,0.8,0.7,0.7,0.4,-,0.3,0.8,-,-,23.5,82.3,-,1.1,0.1,6.5
Nicolás Cordero,22,Union,FW,9(5),833,2,-,1.6,0.1,0.3,0.6,0.2,0.9,1.6,0.5,0.3,1.0,-,0.4,0.4,0.2,-,13.9,60.8,0.1,0.1,-,6.5
Joaquín Laso,31,Independiente,D(CR),4(1),388,-,-,0.2,-,0.2,0.6,-,0.2,-,0.6,0.8,0.8,0.6,5.0,0.6,0.6,-,51.8,79.2,-,3.6,-,6.5
Mariano Bíttolo,31,Newell's Old Boys,D(L),13(3),1032,-,1,0.3,0.6,0.1,0.8,-,0.3,1.1,2.1,1.1,0.5,0.1,2.1,1.6,0.2,-,25.8,66.7,0.3,1.3,-,6.5
Jerónimo Cacciabue,24,Newell's Old Boys,DMC,17(3),1465,-,-,0.5,0.4,0.4,0.3,0.1,0.5,0.9,1.5,1.5,1.4,0.1,1.3,1.7,0.2,-,34.3,81.5,0.1,1.9,0.1,6.5
Nicolás Zalazar,25,Club Atletico Platense,D(C),6,540,-,1,0.7,0.7,0.2,0.7,-,0.2,0.5,1.0,1.2,1.0,0.3,4.8,0.7,0.3,-,26.3,48.1,0.2,4.2,0.2,6.49
Dylan Gissi,30,Union,D(C),3(5),325,-,-,-,0.3,-,0.1,-,-,0.3,0.8,0.5,0.1,0.3,2.3,0.3,0.3,-,25.5,77.5,-,2.3,-,6.49
Bruno Palazzo,21,Gimnasia LP,Defender,1,90,-,-,-,-,-,1.0,-,-,-,3.0,-,2.0,-,2.0,6.0,-,-,22.0,77.3,-,2.0,-,6.49
Óscar Benítez,29,Atletico Tucuman,AM(LR),5(10),589,1,-,0.7,0.7,1.3,0.8,0.1,1.1,1.7,0.9,0.1,0.5,-,0.3,0.7,0.2,-,23.5,81.0,0.3,0.5,-,6.49
Junior Arias,28,Patronato de Parana,FW,15(10),1472,5,-,1.6,0.8,0.3,0.7,0.4,0.4,1.7,0.4,0.3,1.4,-,0.6,0.7,0.1,-,17.2,68.8,0.2,0.4,-,6.49
Leonel Picco,23,Arsenal Sarandi,M(C),16(5),1347,1,-,0.5,0.3,0.2,0.4,-,1.2,1.2,2.9,1,1.4,-,0.8,2.1,0.1,-,24.5,74.0,0.1,1.1,-,6.48
Javier Correa,29,Racing Club,FW,14(7),1380,4,1,2.2,0.4,0.5,0.8,0.8,1,2,0.9,0.1,1.2,-,0.6,0.7,-,-,12.5,69.8,-,0.6,-,6.48
Alan Aguerre,31,Newell's Old Boys,GK,17,1530,-,-,-,0.1,-,0.2,-,-,0.1,0.1,-,0.1,-,0.8,0.1,-,-,30.2,65.7,-,9.3,-,6.48
Rodrigo Márquez,20,Independiente,Forward,2(11),299,1,1,0.3,0.6,1.2,0.2,0.1,0.7,1,0.7,0.1,0.5,-,0.2,0.4,-,-,9.3,67.8,0.2,0.3,-,6.48
Sebastián Ribas,34,Central Cordoba de Santiago,FW,7(9),638,4,-,0.8,0.8,-,0.1,0.4,0.2,0.9,0.1,0.1,0.6,-,0.8,0.4,0.1,-,9.1,55.5,0.2,-,-,6.48
Tomás Belmonte,23,Lanus,M(C),8(9),794,1,1,0.5,0.1,0.1,0.9,-,0.1,0.8,1.9,1,1.4,-,1.2,0.6,0.5,-,22.1,82.2,-,1.2,0.1,6.48
Sebastián Torrico,42,San Lorenzo,GK,25,2250,-,-,-,-,-,0.1,-,-,-,-,0.1,-,-,0.8,-,-,-,28.8,59.1,-,9.8,-,6.47
Ismael Quílez,32,Huracan,"D(R),M(R)",19(1),1623,-,1,0.6,0.6,0.3,1.0,-,0.4,1.5,1.4,0.9,0.7,0.3,1.7,0.6,0.1,-,25.6,69.5,0.6,1.9,-,6.47
Alejandro Donatti,35,San Lorenzo,D(C),10,808,-,-,0.8,-,-,0.4,-,-,0.2,0.3,0.8,0.2,1.2,5,0.1,0.4,-,34.0,82.9,-,4.3,-,6.47
Brian Blasi,26,Union,D(CR),4(4),356,-,-,0.6,0.5,0.3,0.4,-,0.8,0.4,1.4,0.6,0.4,-,0.9,-,0.3,-,13.4,68.2,0.4,2.1,-,6.47
Yéiler Góez,22,Colon,Midfielder,4(8),461,1,-,0.1,0.6,0.5,1.3,-,0.4,1.6,1.5,0.8,1.2,-,0.3,0.8,0.1,-,17.4,81.8,-,1.2,0.1,6.47
Marco Borgnino,24,Union,AM(L),4(3),365,-,-,1.3,0.4,0.6,1.7,-,0.7,1.3,1.6,0.4,0.9,-,-,0.4,-,-,15.6,69.7,0.7,1.4,-,6.47
Mateo Coronel,23,Argentinos Juniors,Forward,3(14),484,4,2,1.4,0.6,0.4,0.7,0.3,0.9,1.4,0.3,0.1,0.6,-,0.2,0.1,-,-,8.6,81.6,0.2,0.1,-,6.47
Alexis Flores,20,San Lorenzo,D(C),16(3),1521,-,1,0.2,0.1,0.4,0.2,0.1,0.2,0.6,1.6,1.6,1.0,1.1,2.5,0.7,0.6,-,40.2,76.5,-,2.3,-,6.47
Nicolás Thaller,23,Lanus,D(C),11(1),904,-,-,0.2,-,-,0.3,-,0.1,0.6,1.3,1.7,1.6,1,4.6,0.1,0.7,-,26.6,72.1,-,1.7,-,6.47
Cristian Medina,19,Boca Juniors,M(C),6(9),612,-,-,0.4,0.7,0.8,0.9,-,0.5,1.3,1.4,0.4,0.8,-,0.3,0.3,0.1,-,20.6,84.5,0.1,0.9,0.1,6.46
Alexis Sabella,20,San Lorenzo,AM(CL),11(13),1048,2,1,1.0,0.4,1.3,0.5,0.1,0.5,2.4,1.3,0.4,1.1,0.1,0.5,0.8,0.1,-,14.5,72.4,0.3,1.1,-,6.46
Sergio Quiroga,27,Sarmiento,M(C),14(7),1178,-,2,1.2,0.9,0.8,1.2,-,0.5,2.0,1.3,0.9,0.4,-,0.2,1.1,-,-,20.5,69.5,0.6,1.2,-,6.46
Juan Sánchez Miño,32,Estudiantes,"D(L),M(CL)",15(5),1273,-,1,0.8,0.7,0.6,0.6,0.1,1.2,1.7,1.6,0.5,1,0.1,0.1,1,0.1,-,30.6,75,0.5,1.6,-,6.46
Gabriel Risso Patrón,26,Atletico Tucuman,D(L),16(1),1443,-,1,0.4,0.7,0.6,0.9,-,0.2,1,0.8,2.1,0.6,0.2,1.6,0.5,-,-,31.0,76.9,0.8,1.2,-,6.46
Ignacio Russo,21,Rosario Central,Forward,1(2),113,1,-,1.3,-,0.3,1,-,-,2.3,0.3,-,0.7,-,0.3,0.7,-,-,3.0,77.8,-,-,-,6.46
Lucas Esquivel,20,Union,M(L),7(3),591,1,-,0.5,0.2,0.3,0.3,0.1,0.8,0.8,1.3,1,1.4,-,1.9,0.6,0.1,-,17.5,64,0.3,1.6,-,6.46
Leandro Grimi,37,Huracan,D(CL),12(2),1064,-,-,0.5,0.2,-,0.9,-,-,0.2,1.3,1.6,0.9,0.4,2,0.5,-,-,34.9,70.1,0.1,4.1,-,6.45
Francisco González,20,Newell's Old Boys,Forward,5(7),558,1,-,1.2,0.8,0.8,1,0.2,0.5,1.6,0.4,0.3,0.6,-,0.4,0.7,-,-,10.7,71.9,1,0.4,-,6.45
Exequiel Zeballos,19,Boca Juniors,Forward,2(6),190,1,1,0.5,0.3,1,0.4,0.1,0.5,1.3,0.3,-,0.9,-,-,-,-,-,9.3,79.7,0.3,0.1,-,6.45
Leandro Soria,17,Godoy Cruz,Midfielder,0(1),9,-,-,1.0,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,3.0,-,-,-,-,6.45
Facundo Mura,23,Colon,D(LR),14(8),1396,-,3,0.5,0.7,0.5,0.3,-,0.5,1.7,0.7,0.7,0.6,0.2,1.1,0.5,0.1,-,28.4,73.8,0.9,1.5,-,6.45
Emiliano Papa,39,Arsenal Sarandi,"D(L),DMC",22(1),1976,-,-,0.1,0.7,0.3,0.6,-,0.2,1.2,1.1,1.1,0.5,-,1.3,0.8,0.3,-,33.3,72.4,0.5,2.5,-,6.45
Claudio Riaño,33,Central Cordoba de Santiago,FW,5(7),463,1,-,1.3,1,0.3,0.5,0.4,0.4,1.2,0.4,0.2,1.3,-,0.5,0.1,-,-,9.8,70.9,0.1,0.3,-,6.45
Miguel Brizuela,25,Velez Sarsfield,D(C),6(7),585,-,-,0.2,0.1,0.2,0.2,-,0.2,0.1,0.6,0.6,0.2,0.2,1.6,0.3,0.5,-,29.0,80.6,0.1,0.8,-,6.45
Lucas Acosta,27,Lanus,GK,13,1170,-,-,-,0.1,0.1,0.2,-,-,0.1,-,0.2,-,-,0.5,-,-,1,33.7,62.8,-,7.7,-,6.45
Fabricio Dominguez,23,Racing Club,Midfielder,5(10),534,1,-,0.5,0.4,0.7,0.9,0.1,0.4,0.7,1.1,0.3,0.7,-,0.7,1.1,-,-,11.9,70.9,0.1,0.5,-,6.45
Enrique Triverio,33,Huracan,FW,12(6),1031,3,1,1.1,0.4,0.4,0.9,0.3,0.7,3.3,0.9,0.1,1.1,-,0.4,0.5,-,-,14.7,68.9,0.1,0.1,-,6.44
Franco Moyano,24,Argentinos Juniors,DMC,19(2),1586,-,1,0.5,0.3,0.2,0.3,-,0.3,0.8,1,1.1,0.8,-,1.3,0.8,0.2,-,50.0,88.9,-,2.4,-,6.44
Emanuel Quinteros,21,Godoy Cruz,Midfielder,0(1),16,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,14.0,71.4,-,-,-,6.44
Matías Miranda,21,Gimnasia LP,AM(C),13(6),1101,-,1,0.9,0.8,1,0.5,-,0.6,2.5,0.5,0.3,0.6,-,0.3,0.5,0.1,-,23.9,75.6,0.9,1.1,-,6.44
Agustín Obando,22,Boca Juniors,M(L),1(2),82,1,-,0.3,0.3,-,-,0.3,0.7,0.7,0.7,-,1,-,-,0.3,-,-,6.7,75.0,-,0.3,-,6.44
Matías Pardo,26,Patronato de Parana,M(L),12(5),976,-,1,0.9,0.5,1.6,2.4,0.2,0.9,2.5,1.6,0.4,1.9,-,-,0.9,0.1,-,15.9,68.5,0.1,0.4,0.1,6.44
Juan Ignacio Rodríguez,20,Banfield,Defender,1(1),94,-,-,0.5,-,-,0.5,-,-,2.5,2,1,-,-,-,1.0,-,-,15.5,58.1,-,0.5,-,6.44
Mauricio Cuero,29,Banfield,AM(R),6(10),751,-,1,1.3,1.1,1.3,1.6,0.5,0.8,2.3,0.3,0.3,0.3,-,-,0.2,0.1,-,11.9,71.6,0.6,0.4,-,6.44
Lucas Suárez,27,Arsenal Sarandi,D(C),5(4),481,-,-,0.1,0.1,0.6,0.9,-,0.2,0.3,0.9,1.1,1,0.1,2.8,0.1,0.6,-,22.6,66.0,-,2.1,-,6.43
Nicolás Orsini,27,Boca Juniors,FW,5(2),353,1,-,1.4,0.4,0.3,0.7,0.3,0.7,2.3,0.3,-,1,-,0.3,0.1,-,-,9.4,71.2,-,-,-,6.43
Marcelo Herrera,23,San Lorenzo,"D(R),M(R)",16(2),1382,1,-,1,0.6,0.4,0.6,0.2,0.5,0.9,1.3,0.7,1,0.3,1.2,0.7,0.2,-,18.3,63.5,0.2,1,0.1,6.43
Martín Luciano,18,Newell's Old Boys,Defender,0(1),19,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1.0,-,-,3.0,100.0,1,-,-,6.43
Lucas Albertengo,31,Arsenal Sarandi,"AM(R),FW",16(4),1404,-,1,1.4,0.9,1,1.6,0.5,2.6,3.8,0.6,0.2,1.5,-,0.6,0.4,0.1,-,16.2,65.4,0.1,0.3,-,6.43
Facundo Pérez,22,Lanus,M(C),10(10),984,-,-,0.6,0.5,0.9,1.3,-,0.9,1.7,1.6,0.5,0.7,-,0.3,0.9,0.1,-,26.3,84.8,0.1,2.1,0.1,6.43
Nahuel Gallardo,23,Colon,D(L),5(4),408,-,-,0.2,0.3,0.8,0.7,-,0.4,0.9,1.4,0.4,1,0.1,1.6,0.7,0.2,-,15.3,76.1,0.1,1.1,-,6.42
Leonardo Heredia,26,Atletico Tucuman,"AM(CLR),FW",17(4),1293,2,2,1.4,0.7,0.8,0.6,0.4,1,1.3,0.5,0.1,0.3,-,0.2,0.6,-,-,24.1,79.3,-,0.4,0.1,6.42
Federico Vismara,38,Sarmiento,DMC,5(6),472,-,-,0.3,0.2,0.1,0.6,-,0.1,0.5,1.0,1.4,0.4,-,0.6,0.4,0.4,-,26.6,80.5,-,2.5,-,6.42
Roman Bravo,20,Newell's Old Boys,Forward,1(2),102,1,-,0.3,-,-,0.7,1.7,-,2.0,1.3,-,0.7,-,-,1,-,-,5.7,82.4,-,-,-,6.42
Florián Monzón,21,Club Atletico Platense,Forward,3(3),256,-,1,0.8,0.3,0.8,0.8,-,0.7,1.7,0.8,-,1.2,-,0.3,0.7,0.2,-,7.8,61.7,-,0.2,-,6.42
Bruno Leyes,20,Godoy Cruz,M(C),10(7),911,1,-,0.5,0.2,0.6,0.8,-,0.5,0.8,1.2,0.8,1.4,-,0.4,1.2,-,-,24.1,83.4,0.1,1.8,-,6.42
Bautista Kociubinski,20,Estudiantes,M(C),6(4),546,-,-,0.1,0.1,0.3,0.5,-,0.3,1.3,2.5,0.6,1.2,0.1,0.7,1.5,0.2,-,24.9,77.9,-,1.5,-,6.42
Francesco Lo Celso,22,Rosario Central,AM(CL),13(8),1040,-,1,0.8,0.9,0.6,1.2,-,0.6,0.8,1.1,0.5,0.8,-,0.2,0.6,-,-,24.4,83.0,1,1.7,-,6.42
Guido Mainero,27,Sarmiento,AM(R),8(7),617,1,1,0.5,0.5,0.7,0.5,0.1,0.8,1.3,1.4,0.3,0.8,-,0.3,0.5,-,-,12.5,70.6,0.7,0.7,-,6.42
Ignacio Galván,19,Racing Club,Defender,2(4),192,-,-,0.3,0.3,1,0.2,-,0.3,1.7,1.2,0.7,0.8,0.2,0.5,0.7,-,-,12.3,73.0,0.2,0.8,-,6.42
Fausto Vera,22,Argentinos Juniors,DMC,1(2),61,-,-,0.7,-,-,-,-,0.7,0.3,0.7,1,0.7,-,-,-,-,-,14.0,83.3,-,0.3,-,6.42
Nicolás Sánchez,36,Godoy Cruz,D(C),2(2),173,-,-,-,-,0.3,0.5,-,-,0.3,0.3,1.3,1.0,0.3,0.8,-,0.3,-,25.8,83.5,-,2.5,-,6.42
Luciano Gómez,26,Argentinos Juniors,"D(R),M(CR)",5(9),457,-,1,0.4,0.9,0.5,0.6,-,0.4,1,0.4,0.5,0.8,0.2,0.3,0.2,0.1,-,15.3,79.0,0.4,0.9,-,6.41
Gastón Togni,24,Independiente,"D(L),M(L)",5(10),591,-,1,0.9,0.5,0.5,0.3,0.1,0.5,0.9,0.5,0.7,0.4,0.1,0.8,0.3,0.2,-,16.9,81.0,0.5,0.8,-,6.41
Yair Arismendi,23,Sarmiento,Midfielder,3(19),659,1,2,1,0.5,0.5,0.8,0.2,0.2,1.2,0.9,0.4,0.5,-,0.1,0.8,0.1,-,6.5,58.0,0.7,0.3,-,6.41
Francisco Cerro,34,Aldosivi,DMC,16(2),1290,1,-,0.2,0.4,0.3,1.2,-,0.4,1.8,1.1,0.9,1.1,0.1,0.8,0.9,0.3,-,40.3,80.0,0.1,1.5,-,6.41
Néstor Ortigoza,37,San Lorenzo,M(C),22(2),1743,3,-,0.2,0.7,0.5,0.5,-,0.8,1.1,1,0.5,0.5,-,0.5,0.6,0.1,-,47.1,85.8,0.1,6.9,0.1,6.41
Agustin Gallo,23,Central Cordoba de Santiago,Forward,0(2),18,1,-,0.5,-,-,-,0.5,0.5,0.5,-,-,-,-,0.5,-,-,-,4.0,50.0,-,-,-,6.41
Mariano Andújar,38,Estudiantes,GK,25,2250,-,-,-,-,0.1,0.2,-,-,-,-,-,-,-,0.4,-,-,1,33.2,56.5,-,8.5,-,6.41
Ciro Rius,33,Atletico Tucuman,"AM(R),FW",9(11),922,-,-,0.6,0.7,0.9,0.7,0.3,0.7,1.4,0.7,0.4,0.6,-,0.4,0.7,0.1,-,14.6,80.8,0.6,0.6,0.1,6.41
Agustín Bouzat,28,Velez Sarsfield,"AM(CLR),FW",12(11),918,2,1,0.3,0.4,0.3,0.7,-,0.4,1.1,1,0.4,0.7,-,0.5,0.9,0.1,-,13.9,76.8,0.3,0.2,-,6.41
Lucas Barrios,37,Defensa y Justicia,FW,2(10),303,2,1,0.5,0.1,0.3,0.5,0.3,0.4,1,0.1,0.2,0.3,-,0.3,0.1,-,-,10.5,58.7,-,-,-,6.4
Jonathan Zacaría,32,Aldosivi,Midfielder,1(7),174,1,1,0.5,0.4,0.4,0.5,0.1,0.8,0.6,0.6,-,0.5,0.1,0.4,0.4,-,-,7.9,73.0,0.8,0.1,-,6.4
Justo Giani,22,Newell's Old Boys,AM(R),6(12),608,1,3,0.7,0.6,0.7,1.5,0.2,0.6,1.7,0.7,0.2,0.7,-,0.1,0.7,-,-,10.6,67.4,0.1,0.3,-,6.4
Emiliano Insúa,33,Aldosivi,"D(CL),M(L)",16(4),1491,-,-,0.1,0.2,0.4,0.5,-,0.1,0.9,1.4,1.5,1.0,0.4,2.4,0.4,0.4,-,49.4,84.7,0.1,2.8,-,6.4
Diego Calcaterra,20,Newell's Old Boys,D(C),8(2),759,-,-,0.9,0.1,0.1,0.2,-,-,0.5,1.2,1.1,1.9,0.6,4.2,0.5,0.2,-,29.4,75.5,-,1.8,-,6.4
Renzo Giampaoli,22,Boca Juniors,Defender,1,90,-,-,-,-,-,1.0,-,-,1.0,-,2,2.0,-,3.0,-,-,-,43.0,79.1,-,9.0,-,6.4
Luciano Ferreyra,20,Rosario Central,M(C),11(9),1027,1,1,1.3,0.7,0.7,0.6,0.2,0.7,1.6,0.8,0.3,0.7,-,0.3,0.7,-,-,15.5,76.7,0.6,0.5,-,6.4
Harrinson Mancilla,30,Gimnasia LP,DMC,10(4),933,-,-,0.2,0.1,0.1,0.7,-,0.5,0.9,1.3,1.1,1.5,-,1.0,1,0.4,-,27.7,80.4,-,1.4,-,6.39
Federico Mancinelli,39,Sarmiento,D(C),12(2),1068,-,-,0.5,0.1,0.1,1.0,-,0.1,0.6,0.6,0.8,0.6,0.6,3.4,-,0.4,-,22.9,72.8,-,3.8,-,6.39
Gastón Viera,19,Racing Club,Forward,2(1),139,-,1,0.3,0.7,0.3,1.0,-,0.3,2.0,1,-,1.0,-,0.3,0.7,-,-,11.7,74.3,0.3,0.7,-,6.39
Lucas Beltrán,21,Colon,FW,7(10),787,1,1,0.7,0.8,0.5,0.8,0.5,1.2,2.2,0.9,0.1,0.7,-,0.3,0.3,-,-,12.5,75.9,0.1,0.1,0.1,6.39
Julián Brea,22,Sarmiento,Forward,2(2),176,-,-,1.5,0.8,1,1.3,0.5,0.5,0.5,0.5,0.3,1.3,-,-,0.5,-,-,8.0,75.0,0.5,-,-,6.39
Nicolás Palavecino,19,Estudiantes,Midfielder,0(4),42,-,1,0.3,0.3,0.3,0.8,-,0.5,0.5,0.8,0.3,0.3,-,-,-,-,-,4.8,89.5,-,0.3,0.3,6.39
Juan Cruz Esquivel,21,Talleres,Forward,1(11),314,-,-,0.5,0.2,1.7,0.2,-,0.3,1.2,0.8,-,0.3,-,0.3,0.4,-,-,6.7,65.0,0.1,0.4,-,6.38
Santiago Hezze,20,Huracan,M(C),9(11),979,1,-,0.5,0.5,0.4,0.5,-,0.3,1.3,1.2,0.9,1.2,0.1,0.8,1.1,0.1,-,20.8,75.2,0.1,1.5,-,6.38
Franco Martínez,19,Arsenal Sarandi,Defender,1(2),175,-,-,0.3,-,-,0.7,-,0.3,1.0,0.3,1.3,0.7,-,1.3,0.7,-,-,11.7,34.3,-,1.3,-,6.38
Lautaro Guzmán,22,Aldosivi,Midfielder,2(9),378,1,-,0.7,0.6,1.2,0.6,0.1,0.8,1.5,0.4,0.4,0.2,-,0.1,0.5,-,-,11.5,70.9,0.5,0.3,-,6.38
Facundo Altamira,20,Godoy Cruz,Defender,3,152,-,-,1.0,-,1.7,0.7,0.3,1.3,2.0,-,-,0.7,-,0.7,-,-,-,8.3,68.0,0.3,-,-,6.38
Nicolás Delgadillo,24,Patronato de Parana,AM(LR),14(9),1157,1,1,1.3,0.8,1.2,0.5,-,1.2,2.3,0.4,0.3,0.4,-,0.1,0.4,-,-,11.1,65.1,0.7,0.5,-,6.38
Nicolás Colazo,31,Gimnasia LP,"D(L),M(CL)",5(8),508,-,-,0.4,0.2,0.2,0.3,-,0.2,0.7,0.5,0.9,0.2,0.2,0.5,0.5,0.2,-,18.4,81.2,0.2,1.2,-,6.38
Carlo Lattanzio,24,Central Cordoba de Santiago,AM(L),6(12),745,-,-,0.9,0.6,0.8,1.0,0.1,0.6,1.3,1.1,0.3,1.2,-,0.2,0.7,0.1,-,13.5,78.2,0.5,0.7,-,6.38
Nicolás Silva,32,Huracan,AM(CLR),9(15),947,1,1,1.1,0.5,0.8,0.8,0.5,0.4,1.5,0.8,0.1,0.2,-,-,0.5,-,-,7.3,63.8,0.3,0.3,0.1,6.38
Ramiro Sordo,21,Newell's Old Boys,AM(L),8(6),673,-,-,1.1,0.6,0.9,0.8,0.2,0.6,2.1,0.8,0.3,0.6,-,0.4,0.7,-,-,12.8,67.0,0.1,0.2,0.1,6.37
Lucas Pratto,33,Velez Sarsfield,FW,1(4),124,1,-,0.6,0.6,0.4,-,0.2,0.6,0.6,0.6,0.2,0.6,-,-,-,-,-,11.0,60.0,-,0.4,0.2,6.37
Enzo Martínez,23,Velez Sarsfield,D(C),1(2),99,1,-,0.3,-,-,0.3,0.3,-,0.7,-,0.7,1.3,-,2.3,0.7,-,-,18.0,83.3,-,3.3,-,6.37
Franco Zapiola,21,Estudiantes,Forward,3(16),455,-,2,0.8,0.5,0.7,0.8,0.1,0.7,0.5,0.5,0.4,0.4,-,0.1,0.6,-,-,8.3,67.1,0.2,0.5,-,6.37
Abel Argañaraz,23,Central Cordoba de Santiago,Forward,5(13),587,1,2,1.1,0.7,0.6,0.7,0.1,0.3,1.6,0.5,0.2,0.6,-,0.1,0.3,-,-,9.7,77.0,0.2,0.4,-,6.37
Jonathan Cristaldo,33,Newell's Old Boys,"AM(CL),FW",11(2),784,2,-,1.2,0.9,0.4,1.8,0.5,1.9,2.0,0.5,0.9,1.1,-,0.5,0.6,0.1,-,17.0,62.4,0.2,0.5,-,6.37
Mateo Maccari,21,Newell's Old Boys,Defender,4(5),426,-,-,0.1,0.1,0.2,0.6,-,0.3,0.3,1.7,1.4,1.4,-,0.6,1,0.1,-,23.6,71.2,-,1.0,-,6.37
Ignacio Piatti,37,Racing Club,"AM(CL),FW",4(6),337,1,-,0.6,0.3,1.4,0.5,-,0.4,1.8,0.7,0.1,0.5,-,0.1,0.6,-,-,14.2,83.1,-,1.1,-,6.36
